Check_update,Images,,,,,,,
Done,https://customjersey.com.au/wp-content/uploads/2026/01/tropic-glow-womens-hawaiian-shirt.jpg,"Black, Pink",,#76756e (24.8%),#26272d (20.6%),#bdc6c6 (19.1%),#dd74ce (14.5%),#e2ca2e (12.4%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/beautiful-birds-womens-beach-shorts.jpg,"White, Orange",,#73887e (25.1%),#576767 (20.3%),#a0a897 (17.0%),#3e4546 (14.9%),#d2cdc8 (14.4%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/floraloha-womens-hawaiian-shirt.jpg,"Yellow, White",,#e8c033 (23.3%),#eeddd1 (20.9%),#d08351 (18.5%),#62b98c (14.0%),#447747 (12.0%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/pineapple-paradise-womens-beach-shorts.jpg,"White, Green",,#a6bda0 (29.3%),#d5d3c7 (26.6%),#748c53 (14.2%),#c58582 (14.1%),#554331 (8.4%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/jungle-boogie-womens-beach-shorts.jpg,"White, Green",,#d4c0bb (27.4%),#759085 (27.2%),#aca49b (21.4%),#53726a (14.5%),#573f2f (5.8%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/tropical-toucans-womens-beach-shorts.jpg,"Green, White",,#637860 (23.2%),#b3b4a6 (19.1%),#313032 (18.3%),#94ad65 (18.1%),#dae8d6 (13.6%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/tropic-paradise-womens-beach-shorts.jpg,"Blue, Cream",,#95c5bb (28.3%),#dfaf99 (18.1%),#80ad79 (17.3%),#c18e7e (14.2%),#dce0ac (13.8%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/pineapple-party-womens-hawaiian-shirt.jpg,"White, Green",,#edf3ed (24.2%),#80976e (20.5%),#686e4b (18.0%),#443b30 (15.7%),#b5c3ac (12.6%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/tropic-tango-womens-hawaiian-shirt.jpg,"Green, Red",,#bbefe1 (27.1%),#7fc7a1 (20.4%),#e1b5a9 (14.5%),#559387 (14.4%),#b47a6c (12.0%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/tropical-leaves-womens-beach-shorts.jpg,"Green, White",,#9cd6bc (31.2%),#beecd6 (22.7%),#80bea1 (16.4%),#d5bba8 (15.7%),#bb9a82 (10.1%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/floraloha-womens-beach-shorts.jpg,"Yellow, White",,#dec141 (23.7%),#e3d4c8 (19.0%),#7cb991 (17.2%),#c78d55 (16.1%),#5b8255 (15.0%)
Done,https://customjersey.com.au/wp-content/uploads/2026/01/island-vibes-womens-beach-shorts.jpg,"White, Gray",,#b6beb6 (19.6%),#696866 (18.9%),#7d868b (17.8%),#ddd7d0 (15.0%),#a99e99 (14.9%)
